TARIH       SEMBOL  GUN.F%  SON  
05.03.2026  INGRM   -1,11   400,00
05.03.2026  INTEK   3,70    294,50
05.03.2026  INTEM   9,99    327,50
05.03.2026  INVEO   2,36    7,36 
05.03.2026  INVES   6,67    320,00
05.03.2026  ISCTR   1,22    14,98
05.03.2026  ISDMR   1,20    42,00
05.03.2026  ISFIN   0,10    20,10
05.03.2026  ISGSY   0,40    125,70
05.03.2026  ISGYO   1,37    22,12
05.03.2026  ISKPL   9,96    10,82
05.03.2026  ISMEN   1,37    44,30
05.03.2026  ISSEN   3,03    7,13 
05.03.2026  ISYAT   2,74    8,26 
05.03.2026  IZENR   -0,55   8,97 
05.03.2026  IZFAS   0,76    52,85
05.03.2026  IZINV   -1,45   61,00
05.03.2026  IZMDC   2,46    7,09 
05.03.2026  JANTS   2,32    17,17
05.03.2026  KAPLM   -0,64   348,75
05.03.2026  KAREL   0,11    9,15 
05.03.2026  KARSN   4,03    10,33
05.03.2026  KARTN   0,28    71,75
05.03.2026  KATMR   0,37    2,72 
05.03.2026  KAYSE   0,95    5,33 
05.03.2026  KBORU   3,00    19,57
05.03.2026  KCAER   9,96    11,48
05.03.2026  KCHOL   1,26    192,50
05.03.2026  KENT    -0,43   465,50
05.03.2026  KERVN   -6,17   3,04 
05.03.2026  KFEIN   3,27    9,15 
05.03.2026  KGYO    -1,03   7,70 
05.03.2026  KIMMR   -0,43   16,03
05.03.2026  KLGYO   -0,16   6,26 
05.03.2026  KLKIM   -0,38   36,52
05.03.2026  KLMSN   7,99    34,04
05.03.2026  KLNMA   -6,15   11,75
05.03.2026  KLRHO   -9,99   203,60
05.03.2026  KLSER   1,38    26,38
05.03.2026  KLSYN   -1,97   8,96 
05.03.2026  KLYPV   1,85    57,75
05.03.2026  KMPUR   0,82    13,45
05.03.2026  KNFRT   3,80    10,94
05.03.2026  KOCMT   2,88    2,50 
05.03.2026  KONKA   1,82    14,51
05.03.2026  KONTR   1,86    8,74 
05.03.2026  KONYA   1,03    4.150,00
05.03.2026  KOPOL   -1,40   6,36 
05.03.2026  KORDS   9,97    52,70
05.03.2026  KOTON   -1,13   14,94
05.03.2026  KRDMA   0,94    28,06
05.03.2026  KRDMB   5,02    38,92
05.03.2026  KRDMD   1,93    30,64
05.03.2026  KRGYO   1,82    2,79 
05.03.2026  KRONT   9,88    17,01
05.03.2026  KRPLS   7,10    8,30 
05.03.2026  KRSTL   0,70    10,06
05.03.2026  KRTEK   2,34    27,12
05.03.2026  KRVGD   0,66    3,03 
05.03.2026  KSTUR   6,42    3.065,00
05.03.2026  KTLEV   10,00   47,52
05.03.2026  KTSKR   1,55    65,40
05.03.2026  KUTPO   4,07    103,50
05.03.2026  KUVVA   10,00   121,00
05.03.2026  KUYAS   0,07    71,30
05.03.2026  KZBGY   2,50    3,69 
