# Son Güncelleme: 24.04.2026 22:06:31
TARIH       SEMBOL  GUN.F%  SON  
17.04.2026  TURSG   5,60    14,71
17.04.2026  UCAYM   0,63    31,90
17.04.2026  UFUK    1,08    1.595,00
17.04.2026  ULAS    -0,78   30,42
17.04.2026  ULKER   2,38    124,80
17.04.2026  ULUFA   -0,42   4,74 
17.04.2026  ULUSE   0,42    215,80
17.04.2026  ULUUN   1,12    8,13 
17.04.2026  UNLU    3,08    13,73
17.04.2026  USAK    4,57    1,83 
17.04.2026  VAKBN   4,67    35,40
17.04.2026  VAKFA   4,05    13,62
17.04.2026  VAKFN   4,30    1,94 
17.04.2026  VAKKO   -0,30   83,40
17.04.2026  VANGD   4,60    95,50
17.04.2026  VBTYZ   6,24    22,80
17.04.2026  VERTU   3,88    42,28
17.04.2026  VERUS   4,63    542,00
17.04.2026  VESBE   5,22    7,66 
17.04.2026  VESTL   5,03    30,08
17.04.2026  VKFYO   2,53    32,40
17.04.2026  VKGYO   2,53    2,84 
17.04.2026  VKING   2,23    27,50
17.04.2026  VRGYO   2,06    2,48 
17.04.2026  VSNMD   -0,66   98,50
17.04.2026  XU100   2,72    14.587,93
17.04.2026  YAPRK   -3,66   16,30
17.04.2026  YATAS   1,94    44,06
17.04.2026  YAYLA   2,62    24,32
17.04.2026  YBTAS   0,54    18,50
17.04.2026  YEOTK   3,45    52,50
17.04.2026  YESIL   2,04    1,50 
17.04.2026  YGGYO   0,19    215,10
17.04.2026  YGYO    0,00    nan  
17.04.2026  YIGIT   1,62    23,86
17.04.2026  YKBNK   4,86    39,30
17.04.2026  YKSLN   3,19    3,23 
17.04.2026  YONGA   1,66    55,00
17.04.2026  YUNSA   1,59    8,92 
17.04.2026  YYAPI   0,00    nan  
17.04.2026  YYLGD   3,19    12,28
17.04.2026  ZEDUR   0,66    9,13 
17.04.2026  ZERGY   2,00    21,40
17.04.2026  ZGYO    9,95    29,40
17.04.2026  ZOREN   7,00    3,21 
17.04.2026  ZRGYO   1,98    21,62
