SEMBOL  3.DİRENÇ  2.DİRENÇ  1.DİRENÇ  PİVOT     1.DESTEK  2.DESTEK  3.DESTEK  SON       
INTEM   271,00    269,00    265,75    263,75    260,50    258,50    255,25    267,50    
INVEO   8,46      8,24      8,02      7,80      7,58      7,36      7,14      7,82      
INVES   795,33    774,66    762,33    741,66    729,33    708,66    696,33    759,00    
ISATR   494,99    494,99    494,99    494,99    494,99    494,99    494,99    nan       
ISBIR   75,70     75,35     74,65     74,30     73,60     73,25     72,55     73,50     
ISBTR   464815,80 451906,70 436515,80 423606,70 408215,80 395306,70 379915,80 420000,00 
ISCTR   15,34     15,22     15,08     14,96     14,82     14,70     14,56     15,47     
ISDMR   62,76     61,53     59,81     58,58     56,86     55,63     53,91     60,85     
ISFIN   20,74     20,56     20,34     20,16     19,94     19,76     19,54     20,44     
ISGSY   120,73    118,76    115,13    113,16    109,53    107,56    103,93    122,60    
ISGYO   20,92     20,80     20,56     20,44     20,20     20,08     19,84     20,72     
ISKPL   9,51      9,19      8,55      8,23      7,59      7,27      6,63      7,45      
ISKUR   293,50    292,50    292,00    291,00    290,50    289,50    289,00    nan       
ISMEN   38,66     38,37     37,78     37,49     36,90     36,61     36,02     37,92     
ISSEN   8,01      7,94      7,81      7,74      7,61      7,54      7,41      7,75      
ISYAT   8,24      8,18      8,09      8,03      7,94      7,88      7,79      8,08      
IZENR   10,59     10,49     10,41     10,31     10,23     10,13     10,05     10,40     
IZFAS   64,98     64,16     63,43     62,61     61,88     61,06     60,33     63,40     
IZINV   76,36     72,73     70,91     67,28     65,46     61,83     60,01     65,70     
IZMDC   8,44      8,34      8,16      8,06      7,88      7,78      7,60      8,33      
JANTS   17,19     17,07     16,89     16,77     16,59     16,47     16,29     16,70     
KAPLM   662,33    651,66    635,33    624,66    608,33    597,66    581,33    618,00    
KAREL   12,27     11,73     11,15     10,61     10,03     94,90     89,10     10,59     
KARSN   13,68     13,30     13,03     12,65     12,38     12,00     11,73     14,03     
KARTN   151,00    143,70    136,10    128,80    121,20    113,90    106,30    125,50    
KATMR   2,82      2,79      2,73      2,70      2,64      2,61      2,55      2,70      
KAYSE   4,69      4,65      4,56      4,52      4,43      4,39      4,30      4,51      
KBORU   25,70     25,45     24,96     24,71     24,22     23,97     23,48     25,20     
KCAER   16,08     15,68     15,30     14,90     14,52     14,12     13,74     15,30     
KCHOL   205,73    203,56    199,63    197,46    193,53    191,36    187,43    199,70    
KENT    399,66    395,33    392,66    388,33    385,66    381,33    378,66    389,50    
KERVN   7,13      7,06      7,03      6,96      6,93      6,86      6,83      7,09      
KFEIN   11,39     11,19     10,86     10,66     10,33     10,13     98,03     10,49     
KGYO    12,72     12,48     12,36     12,12     12,00     11,76     11,64     12,20     
KIMMR   17,55     17,35     17,03     16,83     16,51     16,31     15,99     16,70     
KLGYO   5,26      5,22      5,17      5,13      5,08      5,04      4,99      5,20      
